Subj,Device,Ratio,Wear Time (Waist)
28,CBR,0.687315634,19.4
28,CBR,0.457085828,19.6
28,CBR,0.602636535,10.6
28,CBR,0.797385621,31
28,CBR,0.496183206,12.4
28,CBR,0.57826087,13.1
28,CBR,0.573786408,21.9
28,SCO,0.710691824,6.5
28,SCO,0.333333333,1.9
28,SCO,0,0.4
28,SCO,0,0.2
28,SCO,16.85714286,0.4
28,SCO,0.807132094,41.7
28,SCO,0.675544794,22.3
28,SCO,1.062961141,36.7
28,SCO,0.918309859,9.7
28,SCO,0,0.4
28,SCO,1.017693316,33.8
28,SCO,1,8.1
28,SCO,1,1.3
28,SCO,1,20.6
28,SCO,1,0.6
28,SCO,1,5.6
28,SCO,1,44.7
28,SCO,1,16.7
28,SCO,1,8.2
27,CBR,0,0.9
27,CBR,0,0.3
27,CBR,0,0.4
27,CBR,0.390243902,1.7
27,CBR,0.329787234,3.5
27,CBR,0.155115512,8.3
27,CBR,0.307692308,6.7
27,CBR,0.35971223,1.2
27,CBR,0,1.1
27,CBR,0.172995781,19.6
27,CBR,0,8.6
27,CBR,0.303278689,1.4
27,CBR,0,0.6
27,CBR,0.757009346,7.5
27,SCO,0.239185751,10.8
27,SCO,0.194520548,5.7
27,SCO,0.440119761,9.6
27,SCO,0.253012048,3.1
27,SCO,0.248780488,8.3
27,SCO,0.330645161,2.9
26,SCO,0.673094037,34.7
26,SCO,0.749233599,16.1
26,SCO,0.696330275,12.6
26,SCO,0.583791537,29.7
26,SCO,0.762719172,46.5
26,SCO,0.729649729,51.9
26,SCO,1.392510006,33.7
26,SCO,0.699441821,32.3
26,SCO,0.941478439,25.1
26,SCO,0.694715984,22.3
26,SCO,0,0
26,SCO,0.930174564,10.6
26,SCO,0,0
26,SCO,0,0
26,SCO,0.687652812,39
26,SCO,0.750886767,52.5
26,SCO,0.701944183,43.3
26,SCO,0.634607646,38.8
26,SCO,1.716939407,27.8
26,SCO,0.751436112,52.9
26,SCO,2.175213675,22.2
26,SCO,0.639397201,62.1
26,SCO,0.736361813,50.6
26,SCO,0.706840391,13.4
26,CBR,0.831967213,9
26,CBR,0.691810345,6.7
26,CBR,0.96132252,11.6
26,CBR,0.68852459,13.4
26,CBR,0.368442792,39.7
26,CBR,1.245098039,5.5
26,CBR,0.465384615,9.4
26,CBR,0.659340659,28.5
26,CBR,0.430629265,12.9
26,CBR,0.39497307,25.8
26,CBR,0.608219178,8.3
26,CBR,0.376143432,23.6
26,CBR,1.294592697,29.5
26,CBR,0.612903226,37.2
26,CBR,0.38226087,16.3
26,CBR,0.752997602,15.4
26,CBR,0.276913503,20.1
26,CBR,0.7811299,17.1
26,CBR,0.967505241,17.8
26,CBR,1.054913295,12.3
26,CBR,1.004368225,12.5
26,CBR,0.879922144,8.3
26,CBR,0.548172758,15
25,CBR,1.419970631,11.6
25,CBR,0.491868835,26.2
25,CBR,0.567558852,31.5
25,CBR,1.070412764,41
25,CBR,4.045454545,2.7
25,CBR,1.124362245,32.2
25,CBR,1.335380117,30.1
25,CBR,1.268556509,33.9
25,CBR,104.2727273,0.5
25,CBR,0.868796737,31.3
25,CBR,0.475456125,45.6
25,CBR,0.785670545,26.5
25,CBR,0.743629107,31.3
25,CBR,1.974979149,24.5
25,CBR,0.652051836,36.1
25,CBR,1.170731707,0.2
25,CBR,0.5,4.1
25,CBR,0,0.2
25,CBR,0.695652174,0.2
25,CBR,0.566433566,41.7
25,CBR,0.627576055,31.5
25,CBR,0.515655577,30.5
25,CBR,1.83280356,19.5
25,CBR,0.589769308,41.9
25,CBR,0.61196641,21.5
25,CBR,0.591210614,18.8
25,KAFO,0.673423423,58.3
25,KAFO,0.783007251,61.5
25,KAFO,0.853785463,53.8
25,KAFO,0.825632084,63.2
25,KAFO,0.824882829,61.1
25,KAFO,0.849604743,56.9
25,KAFO,0.798814001,61
25,KAFO,0.736718383,55.2
25,KAFO,0.689629811,48.8
25,KAFO,0.581735889,57.6
25,KAFO,0.620571183,57.1
25,KAFO,0.713156325,53.9
25,KAFO,0.7495037,53.5
25,KAFO,0.644514944,58.5
25,KAFO,0.719158801,55.6
25,KAFO,0.639835995,50.5
25,KAFO,0.665289256,47.3
25,KAFO,0.696503969,52.7
25,KAFO,0.773820259,49.9
25,KAFO,0.704024649,46
25,KAFO,0.689303239,53.9
25,KAFO,0.628093051,46.7
25,KAFO,0.647670317,50.6
25,KAFO,0.676976609,47.5
25,KAFO,0.638510445,51.1
25,KAFO,0.717796338,51.9
25,KAFO,0.644901316,47.2
25,KAFO,0.796080509,31.7
24,CBR,0.492427521,31.7
24,CBR,0,32.2
24,CBR,0.275044458,25.5
